"Empire","City","Pop","Tax","Prosperity_Regional","Prosperity_National","Road_Level","Terrain","Literacy","War_Population","Trade","Capital","Special_Mod","Healthcare_Spending","Pop_Tax","Pop_Growth_Mod","Colonial_Boost","Resource_Income","Resource_Boost","Tax_Base_Industry","Special_Economic_Notes","Net_Prosperity","Net_Income","Resources_Notes"
"Britannia","Pendragon",224428,"0.30","-0.10","0.00","0.20","0.15","0.08","","0.20","0.10","0.16","0.20","","","","","0.00","700.00","Nat Capital, very high modern industry, trade 5, medium portal",0.64,77293003.2,""
"Britannia","Axel City",16045,"0.30","-0.10","0.00","0.20","0.15","0.08","","0.00","","","0.20","","","","","0.00","600.00","medium modern industry, trade 1",0.18,3407958,""
"Britannia","Tokyo",38789561762,"0.30","-0.10","0.00","0.20","0.15","0.08","","0.15","","0.20","0.20","","","","1000000.00","0.10","650.00","high modern industry, trade 4, large portal",0.53,11572865751692.701,"moderate oil (1900), unused medium sakuradite"
"Britannia","Kyoto",1890,"0.30","-0.10","0.00","0.20","0.05","0.08","","0.00","","","0.20","","","","","0.00","500.00","low modern industry, trade 1",0.18,334530,""
"Britannia","Akiba",28436004280,"0.30","-0.10","0.00","0.20","0.05","0.08","","0.10","","","0.20","","","","1300000.00","0.13","600.00","medium modern industry, trade 3",0.28,6551655386112,"moderate gems (1900)"
"Britannia","Gloucester",14476,"0.30","-0.10","0.00","0.20","0.15","0.08","","0.05","","","0.20","","","","","0.00","500.00","low modern industry, trade 2",0.23000000000000004,2670822,""
"Britannia","Alcanretia",4590,"0.30","-0.10","0.00","0.20","0.00","0.08","","0.00","","","0.20","","","","","0.00","500.00","low modern industry, trade 1",0.18,812430,""
"Britannia","Camelot",63511545533,"0.30","-0.10","0.00","0.20","0.15","0.08","","0.10","0.05","","0.20","","","","1450000.00","0.15","650.00","reg capital, high modern industry, trade 3",0.33,16471719333983.55,"large iron  (1900), copper  (1900), tungsten  (1900)"
"Britannia","London",12343453842,"0.30","-0.10","0.00","0.20","0.15","0.08","","0.15","","","0.20","","","","250000.00","0.03","650.00","high modern industry, trade 4",0.33,3201274753922.7,"moderate coal (1900)"
"Britannia","Oxford",14221520478,"0.30","-0.10","0.00","0.20","0.15","0.08","","0.05","","","0.20","","","","650000.00","0.07","600.00","medium modern industry, trade 2",0.23000000000000004,3148644633829.2,"large iron  (1910), moderate copper  (1910)"
"Britannia","Liverpool",1796,"0.30","-0.10","0.00","0.20","0.05","0.08","","0.00","","","0.20","","","","","0.00","500.00","low modern industry, trade 1",0.18,317892,""
"Britannia","York",6038,"0.30","-0.10","0.00","0.20","0.15","0.08","","0.00","","","0.20","","","","","0.00","500.00","low modern industry, trade 1",0.18,1068726,""
"Britannia","Alnus City",53299715217,"0.30","0.00","0.00","0.20","0.15","0.08","","0.15","0.05","0.15","0.20","","","","2800000.00","0.28","600.00","reg capital, medium modern industry, trade 4, large portal",0.6299999999999999,15638136444667.799,"moderate gold (1900), gems (1900)"
"Britannia","Lugnica",1961933532,"0.30","0.00","0.00","0.20","0.10","0.08","","0.05","","","0.20","","","","1000000.00","0.10","500.00","low modern industry, trade 2",0.33,391405739634,"moderate iron (1920), large tungsten (1920)"
"Britannia","Pappelt",2728,"0.30","0.00","0.00","0.20","0.10","0.08","","0.00","","","0.20","","","","","0.00","500.00","low modern industry, trade 1",0.28,523776,""
"Britannia","Priestella",2143,"0.30","0.00","0.00","0.20","0.10","0.08","","0.00","","","0.20","","","","","0.00","500.00","low modern industry, trade 1",0.28,411456,""
"Britannia","MacArthurville",2650,"0.30","0.00","0.00","0.20","0.10","0.08","","0.05","","","0.20","","","","","0.00","500.00","low modern industry, trade 2",0.33,528675,""
"Britannia","Wyndham",2143,"0.30","0.00","0.00","0.20","0.10","0.08","","0.00","","","0.20","","","","","0.00","500.00","low modern industry, trade 1",0.28,411456,""
"Britannia","Lumias",2050,"0.30","0.00","0.00","0.20","0.10","0.08","","0.00","","","0.20","","","","","0.00","500.00","low modern industry, trade 1",0.28,393600,""
"Britannia","Shet",2148,"0.30","0.00","0.00","0.20","0.10","0.08","","0.00","","","0.20","","","","","0.00","500.00","low modern industry, trade 1",0.28,412416,""
"Britannia","Leaves",441429947,"0.30","-0.10","0.00","0.20","0.10","0.08","","0.00","","","0.20","","","","100000.00","0.01","500.00","low modern industry, trade 1",0.18,78133100619,"low iron (1925)"
"Britannia","Sand",546660374,"0.30","-0.10","0.00","0.20","-0.10","0.08","","0.00","","","0.20","","","","200000.00","0.02","500.00","low modern industry, trade 1",0.18,96758886198,"large copper (1925)"
"Britannia","Stone",2677550059,"0.10","-0.10","0.00","0.20","0.00","0.08","","0.00","","","0.20","","","","900000.00","0.09","200.00","low medieval industry, trade 1",0.18,63190181392.399994,"large iron (1925), copper (1925), low silver (1925)"
"Britannia","Cloud",23322889913,"0.10","-0.10","0.00","0.20","0.00","0.08","","0.05","0.05","","0.20","","","","4000000.00","0.40","350.00","reg capital, high medieval industry, trade 2",0.28,1044865468102.4,"large gold (1925), aluminum (1925) moderate gems (1925)"
"Britannia","Mist",3998,"0.10","-0.10","0.00","0.20","0.05","0.08","","0.00","","","0.20","","","","","0.00","200.00","low medieval industry, trade 1",0.18,94352.79999999999,""
"Britannia","Ken Kokyu",1680,"0.30","-0.10","0.00","0.20","0.00","0.08","","0.00","","","0.20","","","","","0.00","200.00","low medieval industry, trade 1",0.18,118944,""
"Britannia","Orth",18907,"0.30","0.00","0.00","","0.05","0.08","","0.10","0.05","","0.20","","","","","0.00","600.00","reg capital, medium modern industry, trade 3, The Abyss",0.23000000000000004,4186009.8,""
"Britannia","Siltvelt",10771459126,"0.30","0.00","0.00","","0.05","0.08","","0.05","","","0.20","","","","400000.00","0.04","650.00","high modern industry, trade 2",0.13,2373491018414.0996,"moderate iron (1900), aluminum (1900)"
"Britannia","Batavia",22653477635,"0.30","0.00","0.00","","0.05","0.08","","0.05","","","0.20","","","","700000.00","0.07","650.00","high modern industry, trade 2",0.13,4991693796872.25,"large iron (1900), copper (1900)"
"Britannia","Nanjing",15760874383,"0.30","-0.25","0.00","0.10","0.15","0.08","","0.20","0.05","","0.20","","","","150000.00","0.02","350.00","reg capital, high medieval industry, trade 5,",0.18000000000000002,1952772336053.7,"moderate copper (1925)"
"Britannia","Tonryuu",170993765766,"0.30","-0.25","0.00","0.10","0.15","0.08","","0.05","","","0.20","","","","1750000.00","0.18","350.00","high medieval industry, trade 2",-0.01999999999999999,17595258497321.4,"large oil (1925), moderate coal (1925)"
"Britannia","Ou Ki City",42242990643,"0.30","-0.25","0.00","0.10","0.15","0.08","","0.00","","","0.20","","","","700000.00","0.07","300.00","medum medieval industry, trade 1",-0.06999999999999999,3535738316819.1,"large iron (1925), aluminum (1925)"
"Britannia","Kanyou",161448743623,"0.30","-0.25","0.00","0.10","0.15","0.08","","0.10","","","0.20","","","","2700000.00","0.27","350.00"," high medieval industry, trade 3",0.030000000000000013,17460681622827.451,"large gold (1925), low silver (1925)"
"Britannia","Doldrey",25706565374,"0.30","-0.25","0.00","0.10","0.00","0.08","","0.05","","","0.20","","","","3150000.00","0.32","300.00","medium medieval industry, trade 2",-0.01999999999999999,2267319065986.8,"huge iron (1925), large aluminum (1925), silver (1925), small gold (1925), gems (1925)"
"Britannia","Guilin",9206,"0.30","-0.25","0.00","0.10","0.05","0.08","","0.00","","","0.20","","","","","0.00","200.00","low medieval industry, trade 1",-0.06999999999999999,513694.80000000005,""
"Britannia","Lurolona",2902190449,"0.30","0.00","0.00","0.20","0.10","0.08","","0.05","","","0.20","","","","500000.00","0.05","600.00","medium modern industry, trade 2",0.33,694784393490.6001,"large coal (1920)"
"Britannia","Cal Mira",6765337894,"0.30","0.00","0.00","","0.05","0.08","","0.10","","","0.20","","","","1500000.00","0.15","650.00","high modern industry, trade 3",0.18,1556704249409.4,"large oil (1920)"
"Britannia","Rinistria",876143404,"0.30","0.00","0.00","0.20","0.15","0.08","","0.15","","","0.20","","","","300000.00","0.03","600.00","medium modern industry, trade 4",0.43,225519312189.59998,"small tungsten (1920)"
"Britannia","Potosi",131066472766,"0.30","0.00","0.00","0.20","0.00","0.08","","0.10","","0.18","0.20","","","","5900000.00","5.90","650.00","high modern industry, trade 3, ancient capital, oxford/star aquarium",0.56,39870421015417.2,"large adamantium (1920), silver (1920), anti-magicite (1920), gems (1920), giant iron (1920)"
"Britannia","Melromarc",2938893528,"0.30","0.00","0.00","0.20","0.10","0.08","","0.00","","","0.20","","","","1500000.00","0.15","500.00","low modern industry, trade 1",0.28,564267557376,"large oil (1920)"
"Britannia","Mirso",3221,"0.30","0.00","0.00","0.20","0.10","0.08","","0.00","","","0.20","","","","","0.00","500.00","low modern industry, trade 1",0.28,618432,""
"Britannia","Gatecester",9425548670,"0.30","0.00","0.00","0.20","0.10","0.08","","0.10","0.05","0.15","0.20","","","","2750000.00","2.75","600.00","reg capital, medium modern industry, trade 3, large portal",0.58,2680626041748,"moderate iron (1920), large platinum (1920)"
"Britannia","Machu",3065221738,"0.30","0.00","0.00","0.20","0.00","0.08","","0.00","","","0.20","","","","3000000.00","0.30","500.00","low modern industry, trade 1",0.28,588522573696,"large platinum (1920), low tungsten (1920), silver (1920)"
"Britannia","Hong Kong",2086904978,"0.30","0.00","0.00","0.20","0.10","0.08","","0.00","","","0.20","","","","1900000.00","1.90","500.00","low modern industry, trade 1",0.28,400685755776,"moderate oil (1920), small gold (1920)"
"Britannia","Starfort David",12706,"0.30","0.00","0.00","0.20","0.05","0.08","","0.15","","0.06","0.20","","","15.00","","0.00","500.00","low modern industry, trade 4, medium portal",0.49,2839791,""
"Britannia","Almeida City",489138828,"0.30","0.00","0.00","0.20","0.05","0.08","","0.05","","","0.20","","","15.00","1200000.00","1.20","500.00","low modern industry, trade 2",0.33,97583196186,"large iron (1920), aluminum (1920), coal (1920)"
"Britannia","New Pendragon (CAP 500k)",35355,"0.30","0.00","0.00","0.20","0.10","0.08","","0.05","0.05","","0.20","","","15.00","","0.00","500.00","reg capital low modern industry, trade 2",0.38,7318484.999999999,""
"Britannia","New London",6611,"0.30","0.00","0.00","0.20","0.05","0.08","","0.00","","","0.20","","","15.00","","0.00","500.00","low modern industry, trade 1",0.28,1269312,""
"Britannia","Tintagel",2712,"0.30","0.00","0.00","0.20","0.10","0.08","","0.00","","","0.20","","","15.00","","0.00","500.00","low modern industry, trade 1",0.28,520704,""
"Britannia","Acton",723,"0.30","0.00","0.00","0.20","0.10","0.08","","0.00","","","0.20","","","15.00","","0.00","500.00","low modern industry, trade 1",0.28,138816,""
"Britannia","Glasgow",361,"0.30","0.00","0.00","0.20","0.05","0.08","","0.00","","","0.20","","","15.00","","0.00","500.00","low modern industry, trade 1",0.28,69312,""
"Britannia","Nottingham",309,"0.30","0.00","0.00","0.20","0.10","0.08","","0.00","","","0.20","","","15.00","","0.00","500.00","low modern industry, trade 1",0.28,59328,""
"Britannia","Bristol",364,"0.30","0.00","0.00","0.20","0.05","0.08","","0.00","","","0.20","","","15.00","","0.00","500.00","low modern industry, trade 1,",0.28,69888,""
"Britannia","Douglas",358,"0.30","0.00","0.00","","0.05","0.08","","0.00","","","0.20","","","15.00","","0.00","500.00","low modern industry, trade 1,",0.08,57996.00000000001,""
"Britannia","Avalon (CAP 300k)",4507689703,"0.30","0.00","0.00","0.20","0.10","0.08","","0.05","0.05","","0.20","","","15.00","11300000.00","11.30","500.00","reg capital, low modern industry, trade 2",0.38,933091768520.9999,"large Biest Stone (1920), huge gold (1920), tungsten (1920), oil (1920)"
"Britannia","Brighton",36787959,"0.30","0.00","0.00","0.20","0.10","0.08","","0.00","","","0.20","","","15.00","1350000.00","1.35","500.00","low modern industry, trade 1",0.28,7063288128,"Moderate silver (1920), oil (1920)"
"Britannia","Newcastle",323,"0.30","0.00","0.00","0.20","0.05","0.08","","0.00","","","0.20","","","15.00","","0.00","500.00","low modern industry, trade 1,",0.28,62016,""
"Britannia","Belfast",6835828,"0.30","0.00","0.00","0.20","0.05","0.08","","0.00","","","0.20","","","15.00","350000.00","0.35","500.00","low modern industry, trade 1,",0.28,1312478976,"huge copper (1920)"
"Britannia","Leeds",358,"0.30","0.00","0.00","","0.05","0.08","","0.00","","","0.20","","","15.00","","0.00","500.00","low modern industry, trade 1,",0.08,57996.00000000001,""
"Britannia","Sheffield",309,"0.30","0.00","0.00","0.20","0.10","0.08","","0.00","","","0.20","","","15.00","","0.00","500.00","low modern industry, trade 1,",0.28,59328,""
"Britannia","Eisberg",32890201,"0.30","0.00","0.00","0.10","0.00","0.08","","0.00","0.05","","0.20","","","15.00","2750000.00","2.75","500.00","low modern industry, trade 1,",0.23000000000000004,6068242084.5,"large adamantium (1920)"
"Britannia","Eisland",197,"0.30","0.00","0.00","0.10","0.05","0.08","","0.00","","","0.20","","","15.00","","0.00","500.00","low modern industry, trade 1,",0.18,34869,""
"Britannia","Triangle",42107190925,"0.30","0.00","0.00","0.15","0.10","0.02","","0.00","","","0.20","","","","4350000.00","0.44","300.00","medium medieval industry, trade 1,",0.16999999999999998,4433887204402.5,"large damestear (1920), black opal (1920), moderate silver (1920)"
"Britannia","Salisbury",12396453165,"0.30","0.00","0.00","0.15","0.10","0.02","","0.00","","","0.20","","","","1300000.00","0.13","300.00","medium medieval industry, trade 1,",0.16999999999999998,1305346518274.5,"large aluminum (1920), low gold (1920), silver (1920)"
"Britannia","Aeria",264,"0.30","0.00","0.00","0.15","0.10","0.08","","0.00","","","0.20","","","15.00","","0.00","200.00","low modern industry, trade 1",0.22999999999999998,19483.2,""
"Britannia","Hawk",47160265,"0.30","0.00","0.00","0.15","0.10","0.08","","0.00","","","0.20","","","15.00","3000000.00","0.30","200.00","low modern industry, trade 1",0.22999999999999998,3480427557,""
"Britannia","Illyasville",264,"0.30","0.00","0.00","0.15","0.10","0.08","","0.00","","","0.20","","","15.00","","0.00","200.00","low modern industry, trade 1",0.22999999999999998,19483.2,""
"Britannia","Jewecester",17603477604,"0.30","0.00","0.00","0.15","0.10","0.02","","0.00","0.05","0.23","0.20","","","","1800000.00","0.18","300.00","Reg capital, medium medieval industry, trade 1, large portal, university of Rhodesia (3)",0.45000000000000007,2297253827322.0005,"large tungsten (1920), small copper (1920), platinum (1920)"
"Calimshan","Oreme",857512120,"0.05","0.00","0.00","0.05","0.15","0.01","","0.05","0.10","","0.00","-0.05","0.12","","150000.00","0.02","300.00","Nat capital, medium medieval industry, trade 2, all Asabi pop",0.16000000000000003,14920710888.000002,"low copper, iron"
"Calimshan","Teshburl",4928,"0.05","0.00","0.00","0.05","0.15","0.01","","0.00","","","0.00","-0.05","0.12","","","0.00","200.00","low medieval industry, trade 1, all asabi pop",0.01,49772.8,""
"Calimshan","Memnon",1861,"0.05","0.00","0.00","0.05","0.15","0.01","","0.00","","","0.00","-0.05","","","","0.00","200.00","low medieval industry, trade 1, all harssaf pop",0.01,18796.1,""
